build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s21pro-plus-aml-nand-v1.3.5,s21pro-plus,Antminer S21 Pro+,Bitmain,x21,AML,nand,s21pro-plus-aml-nand,1.3.5,stable,vnish-s21pro-plus-aml-nand-v1.3.5.tar.gz,21574686,9493ad780bdd88182a55d369de8aa3358e6eee5d4b9fb63e36075cc833df5186
s21plus-hydro-cv-nand-v1.3.5,s21plus-hydro,Antminer S21+ Hydro,Bitmain,x21,CV,nand,s21plus-hydro-cv-nand,1.3.5,stable,vnish-s21plus-hydro-cv-nand-v1.3.5.tar.gz,12394556,1b241e96879646b75cb7338743f1b19f9c2b625b0f7693714dd7dabfcc5e273c
u2l9h-aml-nand-v1.3.5,u2l9h,Antminer U2L9H,Bitmain,l9,AML,nand,u2l9h-aml-nand,1.3.5,stable,vnish-u2l9h-aml-nand-v1.3.5.tar.gz,21574547,95a77bfa2e37a7be83cb277b4cc9ea257ed036af80f1f38de53be79e053d3110
s19a-xil-nand-v1.3.5,s19a,Antminer S19a,Bitmain,x19,XIL,nand,s19a-xil-nand,1.3.5,stable,vnish-s19a-xil-nand-v1.3.5.tar.gz,16172269,8ab6982093eb996893b79bbf31e44bf656700699f16e1fe892dd2752f4d17609
s21plus-plus-aml-nand-v1.3.5,s21plus-plus,Antminer S21++,Bitmain,x21,AML,nand,s21plus-plus-aml-nand,1.3.5,stable,vnish-s21plus-plus-aml-nand-v1.3.5.tar.gz,21570895,32bc1ff1bfd268710b2786d5008999e53dd7f5683af4b1bdf068e1d22ac92f26
t21-xil-nand-v1.3.5,t21,Antminer T21,Bitmain,x21,XIL,nand,t21-xil-nand,1.3.5,stable,vnish-t21-xil-nand-v1.3.5.tar.gz,16176233,eff551bbe9e88ff9444d66dedac20ec7ae9b1c0d2bc6756eb57f0e02d69b4589
s19j-xp-aml-nand-v1.3.5,s19j-xp,Antminer S19j XP,Bitmain,x19,AML,nand,s19j-xp-aml-nand,1.3.5,stable,vnish-s19j-xp-aml-nand-v1.3.5.tar.gz,21554516,b35732549f8a76524b6810fa43d0030cd1b3ec3bfd6858b65fc7eea48556745d
s19jpro-plus-bb-nand-v1.3.5,s19jpro-plus,Antminer S19j Pro+,Bitmain,x19,BB,nand,s19jpro-plus-bb-nand,1.3.5,stable,vnish-s19jpro-plus-bb-nand-v1.3.5.tar.gz,19287969,ad9bf1a1a3dc1d83429bcdcd2193696a1ded061d188ac1499bdc82cac00fa28e
s19jpro-cv-nand-v1.3.5,s19jpro,Antminer S19j Pro,Bitmain,x19,CV,nand,s19jpro-cv-nand,1.3.5,stable,vnish-s19jpro-cv-nand-v1.3.5.tar.gz,12364083,3250bf081a00c600b798bf664dbbf192c59b59bcde6c0b14250ed257d5150872
s19i-xil-nand-v1.3.5,s19i,Antminer S19i,Bitmain,x19,XIL,nand,s19i-xil-nand,1.3.5,stable,vnish-s19i-xil-nand-v1.3.5.tar.gz,16173650,230578e081c774758f1b49dc72c7404b301089e88c18cdb5450284e298c0ed16
t19-xil-nand-v1.3.5,t19,Antminer T19,Bitmain,x19,XIL,nand,t19-xil-nand,1.3.5,stable,vnish-t19-xil-nand-v1.3.5.tar.gz,16174185,34d990bdf1a14b2e45d7b194aeacd6c6e8108e768e14ad34ce6c0ff8a41c748f
t19pro-hydro-xil-nand-v1.3.5,t19pro-hydro,Antminer T19 Pro Hydro,Bitmain,x19,XIL,nand,t19pro-hydro-xil-nand,1.3.5,stable,vnish-t19pro-hydro-xil-nand-v1.3.5.tar.gz,16180664,20137c73a96ecda325ef733a2cd9b45dca1d5155f8101065e03088b9c33e64e1
u3s21exph-xil-nand-v1.3.5,u3s21exph,Antminer U3S21EXPH,Bitmain,x21,XIL,nand,u3s21exph-xil-nand,1.3.5,stable,vnish-u3s21exph-xil-nand-v1.3.5.tar.gz,16199380,3baa1f0445b86ee4d2e7c6872c5ce824d5b8c35affee06388a297b61edc2cd59
s19xp-plus-aml-nand-v1.3.5,s19xp-plus,Antminer S19 XP+,Bitmain,x19,AML,nand,s19xp-plus-aml-nand,1.3.5,stable,vnish-s19xp-plus-aml-nand-v1.3.5.tar.gz,21549844,cf789bbf2061d66f9c5d5f87c534c209d4dce46fcb276a112927449dfdbbd75d
u3s19xph-cv-nand-v1.3.5,u3s19xph,Antminer U3S19XP+H,Bitmain,x19,CV,nand,u3s19xph-cv-nand,1.3.5,stable,vnish-u3s19xph-cv-nand-v1.3.5.tar.gz,12394566,cc0e0045870247304045dc3e11a7e4c71241f067a56504355bb8c1a8b31429c4
s21e-hydro-aml-nand-v1.3.5,s21e-hydro,Antminer S21e Hydro,Bitmain,x21,AML,nand,s21e-hydro-aml-nand,1.3.5,stable,vnish-s21e-hydro-aml-nand-v1.3.5.tar.gz,21542470,b2d6f069f5420b160115c894cf399e7f69baa273f660c8592afe4ac35a79369f
s21e-xp-hydro-xil-nand-v1.3.5,s21e-xp-hydro,Antminer S21e XP Hydro,Bitmain,x21,XIL,nand,s21e-xp-hydro-xil-nand,1.3.5,stable,vnish-s21e-xp-hydro-xil-nand-v1.3.5.tar.gz,16178516,ea73fdf847c67ee03b090af518e9d11b1ed81d005a21038793f013f06dae274b
