build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s19j-xp-cv-nand-v1.3.5,s19j-xp,Antminer S19j XP,Bitmain,x19,CV,nand,s19j-xp-cv-nand,1.3.5,stable,vnish-s19j-xp-cv-nand-v1.3.5.tar.gz,12365068,58d2b534595532214f19676f9eba6cd3ac1a9e59ede5eb519a3a8d2129f04dc3
s19j-xp-aml-nand-v1.3.6,s19j-xp,Antminer S19j XP,Bitmain,x19,AML,nand,s19j-xp-aml-nand,1.3.6,stable,vnish-s19j-xp-aml-nand-v1.3.6.tar.gz,21564817,e06e7b26dbe765f1521f61d763758d20ff6a67d517e945f2b6b9ac4359e6555b
s19j-xp-cv-nand-v1.3.6,s19j-xp,Antminer S19j XP,Bitmain,x19,CV,nand,s19j-xp-cv-nand,1.3.6,stable,vnish-s19j-xp-cv-nand-v1.3.6.tar.gz,12471643,2ebfc3cf2640a4bd62c0ebbd7f3a3503b44302b3b7c5fbea70d55670947a6fe5
s19j-xp-xil-nand-v1.3.6,s19j-xp,Antminer S19j XP,Bitmain,x19,XIL,nand,s19j-xp-xil-nand,1.3.6,stable,vnish-s19j-xp-xil-nand-v1.3.6.tar.gz,16195465,6db4fb8a9e77d6f8fe3e85d92dfdd10eaafce3e3dd4533d73d07131ecba87a2f
s19jpro-aml-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,AML,nand,s19jpro-aml-nand,1.3.4,stable,vnish-s19jpro-aml-nand-v1.3.4.tar.gz,21550111,e2e7986d6c04faa8d935a4bef2987ae6a0ec0434a93e5225d369d53b2f1035cf
s19jpro-bb-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,BB,nand,s19jpro-bb-nand,1.3.4,stable,vnish-s19jpro-bb-nand-v1.3.4.tar.gz,19268196,27f21cf147760746fd321e3e4a0377003765b8f62627af51d2918725198bca03
s19jpro-cv-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,CV,nand,s19jpro-cv-nand,1.3.4,stable,vnish-s19jpro-cv-nand-v1.3.4.tar.gz,12378768,a8ff98cdc7e43674008b7adcd58c589eb97bc274743e48efc3aa6e6ca653ff7d
s19jpro-xil-nand-v1.3.4,s19jpro,Antminer S19j Pro,Bitmain,x19,XIL,nand,s19jpro-xil-nand,1.3.4,stable,vnish-s19jpro-xil-nand-v1.3.4.tar.gz,16180365,8a9449ce44660e8de305dce0726ac45dbb8cd9b66b0fdee499bad08946707174
s19jpro-cv-nand-v1.3.5,s19jpro,Antminer S19j Pro,Bitmain,x19,CV,nand,s19jpro-cv-nand,1.3.5,stable,vnish-s19jpro-cv-nand-v1.3.5.tar.gz,12364083,3250bf081a00c600b798bf664dbbf192c59b59bcde6c0b14250ed257d5150872
s19jpro-bb-nand-v1.3.5,s19jpro,Antminer S19j Pro,Bitmain,x19,BB,nand,s19jpro-bb-nand,1.3.5,stable,vnish-s19jpro-bb-nand-v1.3.5.tar.gz,19253325,2be55945c1119a1c59929890dc5d919fdef4df57cace5992a7a202008e04f103
